country,region,sport,segment,score,supply,demand,appetite,agent_density,country_confidence
Netherlands,benelux,boxing,popular,43.9,0.526,0.532,0.343,0.7,estimate
Netherlands,benelux,MMA,popular,42.9,0.482,0.558,0.246,0.66,estimate
Netherlands,benelux,gymnastics,niche,50.4,0.506,0.431,0.478,0.42,estimate
Netherlands,benelux,handball,niche,49.2,0.482,0.445,0.416,0.42,estimate
Netherlands,benelux,rowing,niche,51.0,0.376,0.255,0.566,0.18,estimate
Netherlands,benelux,skateboarding,niche,54.3,0.506,0.356,0.604,0.28,estimate
Netherlands,benelux,motorsport,popular,31.2,0.269,0.623,0.05,0.85,estimate
Luxembourg,benelux,running / trail,niche,75.6,0.911,0.453,0.917,0.1,estimate
Luxembourg,benelux,cycling,niche,73.3,0.911,0.642,0.75,0.35,estimate
Luxembourg,benelux,swimming,niche,69.2,0.81,0.479,0.826,0.25,estimate
Luxembourg,benelux,football,popular,52.2,0.801,0.828,0.29,0.88,estimate
Luxembourg,benelux,fitness / gym,niche,71.4,0.83,0.293,0.951,0.08,estimate
Luxembourg,benelux,padel,niche,63.7,0.605,0.319,0.789,0.15,estimate
Luxembourg,benelux,tennis,popular,46.6,0.629,0.586,0.412,0.78,estimate
Luxembourg,benelux,basketball,popular,48.2,0.667,0.655,0.36,0.78,estimate
Luxembourg,benelux,volleyball,popular,54.4,0.605,0.453,0.6,0.45,estimate
Luxembourg,benelux,climbing,niche,61.3,0.554,0.267,0.794,0.12,estimate
Luxembourg,benelux,athletics,popular,55.4,0.649,0.541,0.522,0.48,estimate
Luxembourg,benelux,triathlon,niche,54.9,0.436,0.26,0.652,0.14,estimate
Luxembourg,benelux,surfing,niche,53.9,0.464,0.342,0.562,0.22,estimate
Luxembourg,benelux,golf,popular,46.0,0.577,0.512,0.455,0.72,estimate
Luxembourg,benelux,boxing,popular,43.2,0.508,0.495,0.375,0.7,estimate
Luxembourg,benelux,MMA,popular,42.1,0.464,0.521,0.273,0.66,estimate
Luxembourg,benelux,gymnastics,niche,49.8,0.488,0.394,0.512,0.42,estimate
Luxembourg,benelux,handball,niche,48.5,0.464,0.407,0.45,0.42,estimate
Luxembourg,benelux,rowing,niche,50.3,0.358,0.218,0.6,0.18,estimate
Luxembourg,benelux,skateboarding,niche,53.6,0.488,0.319,0.636,0.28,estimate
Luxembourg,benelux,motorsport,popular,30.1,0.251,0.586,0.057,0.85,estimate
Belgium,benelux,running / trail,niche,75.4,0.895,0.485,0.888,0.1,estimate
Belgium,benelux,cycling,niche,72.5,0.895,0.674,0.684,0.35,estimate
Belgium,benelux,swimming,niche,68.7,0.794,0.512,0.774,0.25,estimate
Belgium,benelux,football,popular,51.5,0.786,0.861,0.228,0.88,estimate
Belgium,benelux,fitness / gym,niche,71.4,0.814,0.325,0.934,0.08,estimate
Belgium,benelux,padel,niche,63.0,0.589,0.352,0.73,0.15,estimate
Belgium,benelux,tennis,popular,45.7,0.613,0.619,0.336,0.78,estimate
Belgium,benelux,basketball,popular,47.4,0.651,0.687,0.289,0.78,estimate
Belgium,benelux,volleyball,popular,53.5,0.589,0.485,0.52,0.45,estimate
Belgium,benelux,climbing,niche,60.7,0.539,0.3,0.736,0.12,estimate
Belgium,benelux,athletics,popular,54.4,0.633,0.573,0.441,0.48,estimate
Belgium,benelux,triathlon,niche,54.0,0.421,0.293,0.575,0.14,estimate
Belgium,benelux,surfing,niche,52.9,0.448,0.374,0.481,0.22,estimate
Belgium,benelux,golf,popular,45.0,0.561,0.544,0.376,0.72,estimate
Belgium,benelux,boxing,popular,42.4,0.493,0.527,0.302,0.7,estimate
Belgium,benelux,MMA,popular,41.5,0.448,0.554,0.213,0.66,estimate
Belgium,benelux,gymnastics,niche,48.8,0.472,0.426,0.431,0.42,estimate
Belgium,benelux,handball,niche,47.6,0.448,0.44,0.371,0.42,estimate
Belgium,benelux,rowing,niche,49.4,0.342,0.251,0.52,0.18,estimate
Belgium,benelux,skateboarding,niche,52.7,0.472,0.352,0.558,0.28,estimate
Belgium,benelux,motorsport,popular,30.1,0.236,0.619,0.042,0.85,estimate
Austria,dach,running / trail,niche,75.9,0.911,0.485,0.898,0.1,estimate
Austria,dach,cycling,niche,68.7,0.845,0.612,0.706,0.35,estimate
Austria,dach,swimming,niche,67.4,0.782,0.485,0.792,0.25,estimate
Austria,dach,football,popular,53.0,0.814,0.873,0.247,0.88,estimate
Austria,dach,fitness / gym,niche,71.8,0.83,0.325,0.94,0.08,estimate
Austria,dach,padel,niche,52.1,0.436,0.192,0.75,0.15,estimate
Austria,dach,tennis,popular,46.5,0.629,0.619,0.359,0.78,estimate
Austria,dach,basketball,popular,48.1,0.667,0.687,0.31,0.78,estimate
Austria,dach,volleyball,popular,54.3,0.605,0.485,0.545,0.45,estimate
Austria,dach,climbing,niche,65.7,0.617,0.359,0.755,0.12,estimate
Austria,dach,athletics,popular,55.2,0.649,0.573,0.466,0.48,estimate
Austria,dach,triathlon,niche,54.8,0.436,0.293,0.6,0.14,estimate
Austria,dach,surfing,niche,53.7,0.464,0.374,0.507,0.22,estimate
Austria,dach,golf,popular,44.7,0.561,0.529,0.4,0.72,estimate
Austria,dach,boxing,popular,43.1,0.508,0.527,0.324,0.7,estimate
Austria,dach,MMA,popular,42.1,0.464,0.554,0.231,0.66,estimate
Austria,dach,gymnastics,niche,49.6,0.488,0.426,0.457,0.42,estimate
Austria,dach,handball,niche,55.7,0.571,0.541,0.396,0.42,estimate
Austria,dach,rowing,niche,50.1,0.358,0.251,0.545,0.18,estimate
Austria,dach,skateboarding,niche,53.5,0.488,0.352,0.583,0.28,estimate
Austria,dach,motorsport,popular,34.2,0.303,0.668,0.046,0.85,estimate
Germany,dach,running / trail,niche,75.6,0.895,0.512,0.869,0.1,estimate
Germany,dach,cycling,niche,67.9,0.829,0.638,0.644,0.35,estimate
Germany,dach,swimming,niche,66.7,0.766,0.512,0.741,0.25,estimate
Germany,dach,football,popular,52.4,0.798,0.899,0.198,0.88,estimate
Germany,dach,fitness / gym,niche,71.7,0.814,0.352,0.921,0.08,estimate
Germany,dach,padel,niche,51.3,0.421,0.218,0.693,0.15,estimate
Germany,dach,tennis,popular,45.7,0.613,0.645,0.296,0.78,estimate
Germany,dach,basketball,popular,47.4,0.651,0.714,0.253,0.78,estimate
Germany,dach,volleyball,popular,53.3,0.589,0.512,0.474,0.45,estimate
Germany,dach,climbing,niche,65.0,0.601,0.385,0.699,0.12,estimate
Germany,dach,athletics,popular,54.3,0.633,0.6,0.396,0.48,estimate
Germany,dach,triathlon,niche,53.8,0.421,0.319,0.53,0.14,estimate
Germany,dach,surfing,niche,52.8,0.448,0.401,0.436,0.22,estimate
Germany,dach,golf,popular,43.8,0.545,0.555,0.334,0.72,estimate
Germany,dach,boxing,popular,42.4,0.493,0.554,0.265,0.7,estimate
Germany,dach,MMA,popular,41.6,0.448,0.58,0.184,0.66,estimate
Germany,dach,gymnastics,niche,48.7,0.472,0.453,0.387,0.42,estimate
Germany,dach,handball,niche,54.8,0.555,0.567,0.33,0.42,estimate
Germany,dach,rowing,niche,49.2,0.342,0.277,0.474,0.18,estimate
Germany,dach,skateboarding,niche,52.6,0.472,0.378,0.513,0.28,estimate
Germany,dach,motorsport,popular,34.1,0.287,0.694,0.035,0.85,estimate
Ireland,uk_ie,running / trail,niche,77.7,0.928,0.53,0.878,0.1,estimate
Ireland,uk_ie,cycling,niche,65.4,0.793,0.592,0.663,0.35,estimate
Ireland,uk_ie,swimming,niche,66.9,0.771,0.503,0.757,0.25,estimate
Ireland,uk_ie,football,popular,54.8,0.835,0.921,0.212,0.88,estimate
Ireland,uk_ie,fitness / gym,niche,71.8,0.819,0.343,0.928,0.08,estimate
Ireland,uk_ie,padel,niche,56.6,0.497,0.278,0.711,0.15,estimate
Ireland,uk_ie,tennis,popular,45.9,0.617,0.637,0.315,0.78,estimate
Ireland,uk_ie,basketball,popular,47.6,0.656,0.705,0.27,0.78,estimate
Ireland,uk_ie,volleyball,popular,53.6,0.594,0.503,0.496,0.45,estimate
Ireland,uk_ie,climbing,niche,59.0,0.515,0.291,0.717,0.12,estimate
Ireland,uk_ie,athletics,popular,54.5,0.638,0.592,0.417,0.48,estimate
Ireland,uk_ie,triathlon,niche,54.1,0.425,0.311,0.552,0.14,estimate
Ireland,uk_ie,surfing,niche,53.0,0.453,0.392,0.458,0.22,estimate
Ireland,uk_ie,golf,popular,48.0,0.606,0.601,0.354,0.72,estimate
Ireland,uk_ie,boxing,popular,46.9,0.56,0.604,0.283,0.7,estimate
Ireland,uk_ie,MMA,popular,41.7,0.453,0.572,0.198,0.66,estimate
Ireland,uk_ie,gymnastics,niche,48.9,0.477,0.444,0.408,0.42,estimate
Ireland,uk_ie,handball,niche,47.7,0.453,0.458,0.35,0.42,estimate
Ireland,uk_ie,rowing,niche,53.8,0.409,0.328,0.496,0.18,estimate
Ireland,uk_ie,skateboarding,niche,52.8,0.477,0.37,0.535,0.28,estimate
Ireland,uk_ie,motorsport,popular,34.1,0.292,0.686,0.038,0.85,estimate
United Kingdom,uk_ie,running / trail,niche,77.7,0.923,0.557,0.853,0.1,estimate
United Kingdom,uk_ie,cycling,niche,65.0,0.789,0.619,0.613,0.35,estimate
United Kingdom,uk_ie,swimming,niche,66.7,0.766,0.531,0.715,0.25,estimate
United Kingdom,uk_ie,football,popular,54.7,0.83,0.948,0.178,0.88,estimate
United Kingdom,uk_ie,fitness / gym,niche,71.9,0.814,0.371,0.912,0.08,estimate
United Kingdom,uk_ie,padel,niche,56.3,0.493,0.306,0.665,0.15,estimate
United Kingdom,uk_ie,tennis,popular,45.7,0.613,0.664,0.27,0.78,estimate
United Kingdom,uk_ie,basketball,popular,47.4,0.651,0.733,0.229,0.78,estimate
United Kingdom,uk_ie,volleyball,popular,53.2,0.589,0.531,0.442,0.45,estimate
United Kingdom,uk_ie,climbing,niche,58.7,0.511,0.319,0.671,0.12,estimate
United Kingdom,uk_ie,athletics,popular,54.2,0.633,0.619,0.366,0.48,estimate
United Kingdom,uk_ie,triathlon,niche,53.7,0.421,0.338,0.498,0.14,estimate
United Kingdom,uk_ie,surfing,niche,52.7,0.448,0.42,0.405,0.22,estimate
United Kingdom,uk_ie,golf,popular,47.7,0.601,0.628,0.306,0.72,estimate
United Kingdom,uk_ie,boxing,popular,46.7,0.555,0.632,0.241,0.7,estimate
United Kingdom,uk_ie,MMA,popular,41.7,0.448,0.599,0.165,0.66,estimate
United Kingdom,uk_ie,gymnastics,niche,48.6,0.472,0.472,0.357,0.42,estimate
United Kingdom,uk_ie,handball,niche,47.4,0.448,0.485,0.302,0.42,estimate
United Kingdom,uk_ie,rowing,niche,53.4,0.404,0.355,0.442,0.18,estimate
United Kingdom,uk_ie,skateboarding,niche,52.5,0.472,0.397,0.48,0.28,estimate
United Kingdom,uk_ie,motorsport,popular,34.5,0.287,0.713,0.031,0.85,estimate
France,france,running / trail,niche,75.2,0.883,0.508,0.863,0.1,estimate
France,france,cycling,niche,69.5,0.848,0.664,0.632,0.35,estimate
France,france,swimming,niche,66.2,0.754,0.508,0.731,0.25,estimate
France,france,football,popular,51.1,0.774,0.883,0.189,0.88,estimate
France,france,fitness / gym,niche,71.3,0.802,0.348,0.918,0.08,estimate
France,france,padel,niche,60.1,0.543,0.342,0.682,0.15,estimate
France,france,tennis,popular,47.1,0.629,0.668,0.286,0.78,estimate
France,france,basketball,popular,46.8,0.639,0.71,0.243,0.78,estimate
France,france,volleyball,popular,52.7,0.577,0.508,0.462,0.45,estimate
France,france,climbing,niche,61.0,0.539,0.334,0.688,0.12,estimate
France,france,athletics,popular,53.7,0.621,0.596,0.384,0.48,estimate
France,france,triathlon,niche,53.3,0.408,0.315,0.517,0.14,estimate
France,france,surfing,niche,52.2,0.436,0.397,0.424,0.22,estimate
France,france,golf,popular,44.4,0.549,0.567,0.323,0.72,estimate
France,france,boxing,popular,41.8,0.48,0.549,0.255,0.7,estimate
France,france,MMA,popular,41.1,0.436,0.576,0.176,0.66,estimate
France,france,gymnastics,niche,48.1,0.46,0.449,0.375,0.42,estimate
France,france,handball,niche,51.9,0.508,0.531,0.319,0.42,estimate
France,france,rowing,niche,48.6,0.33,0.273,0.462,0.18,estimate
France,france,skateboarding,niche,52.0,0.46,0.374,0.5,0.28,estimate
France,france,motorsport,popular,30.2,0.223,0.641,0.033,0.85,estimate
Spain,iberia,running / trail,niche,74.9,0.872,0.527,0.837,0.1,estimate
Spain,iberia,cycling,niche,66.3,0.8,0.648,0.583,0.35,estimate
Spain,iberia,swimming,niche,65.7,0.743,0.527,0.689,0.25,estimate
Spain,iberia,football,popular,53.1,0.797,0.935,0.16,0.88,estimate
Spain,iberia,fitness / gym,niche,71.1,0.791,0.367,0.901,0.08,estimate
Spain,iberia,padel,niche,78.2,0.803,0.618,0.636,0.15,estimate
Spain,iberia,tennis,popular,44.7,0.59,0.661,0.246,0.78,estimate
Spain,iberia,basketball,popular,48.3,0.657,0.756,0.208,0.78,estimate
Spain,iberia,volleyball,popular,52.1,0.566,0.527,0.412,0.45,estimate
Spain,iberia,climbing,niche,57.6,0.488,0.315,0.643,0.12,estimate
Spain,iberia,athletics,popular,53.1,0.61,0.615,0.337,0.48,estimate
Spain,iberia,triathlon,niche,52.6,0.398,0.334,0.467,0.14,estimate
Spain,iberia,surfing,niche,51.6,0.426,0.416,0.375,0.22,estimate
Spain,iberia,golf,popular,40.1,0.484,0.534,0.28,0.72,estimate
Spain,iberia,boxing,popular,41.4,0.47,0.569,0.219,0.7,estimate
Spain,iberia,MMA,popular,40.8,0.426,0.595,0.149,0.66,estimate
Spain,iberia,gymnastics,niche,47.5,0.449,0.468,0.329,0.42,estimate
Spain,iberia,handball,niche,49.2,0.466,0.52,0.276,0.42,estimate
Spain,iberia,rowing,niche,48.0,0.319,0.293,0.412,0.18,estimate
Spain,iberia,skateboarding,niche,49.0,0.415,0.361,0.45,0.28,estimate
Spain,iberia,motorsport,popular,33.0,0.253,0.699,0.027,0.85,estimate
Portugal,iberia,running / trail,niche,70.2,0.76,0.512,0.733,0.1,measured
Portugal,iberia,cycling,niche,60.9,0.688,0.632,0.429,0.35,measured
Portugal,iberia,swimming,niche,60.4,0.631,0.512,0.543,0.25,measured
Portugal,iberia,football,popular,49.0,0.685,0.92,0.093,0.88,measured
Portugal,iberia,fitness / gym,niche,67.0,0.679,0.352,0.83,0.08,measured
Portugal,iberia,padel,niche,72.8,0.691,0.603,0.484,0.15,measured
Portugal,iberia,tennis,popular,40.1,0.478,0.645,0.149,0.78,measured
Portugal,iberia,basketball,popular,44.0,0.545,0.74,0.123,0.78,measured
Portugal,iberia,volleyball,popular,46.9,0.454,0.512,0.273,0.45,measured
Portugal,iberia,climbing,niche,52.3,0.376,0.3,0.491,0.12,measured
Portugal,iberia,athletics,popular,48.2,0.498,0.6,0.214,0.48,measured
Portugal,iberia,triathlon,niche,47.3,0.286,0.319,0.319,0.14,measured
Portugal,iberia,surfing,niche,46.5,0.314,0.401,0.243,0.22,measured
Portugal,iberia,golf,popular,35.4,0.372,0.519,0.172,0.72,measured
Portugal,iberia,boxing,popular,37.0,0.358,0.554,0.13,0.7,measured
Portugal,iberia,MMA,popular,36.7,0.314,0.58,0.086,0.66,measured
Portugal,iberia,gymnastics,niche,42.6,0.337,0.453,0.208,0.42,measured
Portugal,iberia,handball,niche,44.5,0.354,0.505,0.17,0.42,measured
Portugal,iberia,rowing,niche,42.8,0.207,0.277,0.273,0.18,measured
Portugal,iberia,skateboarding,niche,43.7,0.303,0.346,0.304,0.28,measured
Portugal,iberia,motorsport,popular,29.7,0.141,0.683,0.015,0.85,measured
Italy,italy,running / trail,niche,73.6,0.839,0.523,0.809,0.1,estimate
Italy,italy,cycling,niche,66.6,0.794,0.671,0.536,0.35,estimate
Italy,italy,swimming,niche,64.2,0.71,0.523,0.646,0.25,estimate
Italy,italy,football,popular,52.5,0.774,0.941,0.136,0.88,estimate
Italy,italy,fitness / gym,niche,69.9,0.758,0.363,0.882,0.08,estimate
Italy,italy,padel,niche,65.7,0.611,0.464,0.591,0.15,estimate
Italy,italy,tennis,popular,43.2,0.556,0.657,0.212,0.78,estimate
Italy,italy,basketball,popular,46.1,0.61,0.739,0.178,0.78,estimate
Italy,italy,volleyball,popular,56.8,0.623,0.609,0.366,0.45,estimate
Italy,italy,climbing,niche,56.0,0.454,0.311,0.597,0.12,estimate
Italy,italy,athletics,popular,51.6,0.577,0.612,0.296,0.48,estimate
Italy,italy,triathlon,niche,51.0,0.364,0.331,0.419,0.14,estimate
Italy,italy,surfing,niche,50.0,0.392,0.412,0.331,0.22,estimate
Italy,italy,golf,popular,42.4,0.505,0.582,0.243,0.72,estimate
Italy,italy,boxing,popular,40.0,0.436,0.565,0.188,0.7,estimate
Italy,italy,MMA,popular,39.5,0.392,0.592,0.126,0.66,estimate
Italy,italy,gymnastics,niche,46.0,0.416,0.464,0.288,0.42,estimate
Italy,italy,handball,niche,45.0,0.392,0.478,0.239,0.42,estimate
Italy,italy,rowing,niche,46.4,0.286,0.289,0.366,0.18,estimate
Italy,italy,skateboarding,niche,49.7,0.416,0.39,0.402,0.28,estimate
Italy,italy,motorsport,popular,33.5,0.241,0.716,0.023,0.85,estimate
Greece,balkans,running / trail,niche,71.3,0.786,0.49,0.791,0.1,measured
Greece,balkans,cycling,niche,59.9,0.68,0.578,0.508,0.35,measured
Greece,balkans,swimming,niche,61.8,0.657,0.49,0.62,0.25,measured
Greece,balkans,football,popular,49.7,0.711,0.898,0.123,0.88,measured
Greece,balkans,fitness / gym,niche,67.8,0.705,0.33,0.87,0.08,measured
Greece,balkans,padel,niche,43.9,0.277,0.164,0.563,0.15,measured
Greece,balkans,tennis,popular,41.0,0.504,0.623,0.194,0.78,measured
Greece,balkans,basketball,popular,47.8,0.615,0.76,0.162,0.78,measured
Greece,balkans,volleyball,popular,51.7,0.532,0.539,0.34,0.45,measured
Greece,balkans,climbing,niche,53.7,0.402,0.278,0.57,0.12,measured
Greece,balkans,athletics,popular,49.3,0.525,0.578,0.273,0.48,measured
Greece,balkans,triathlon,niche,48.6,0.312,0.297,0.392,0.14,measured
Greece,balkans,surfing,niche,34.9,0.155,0.204,0.307,0.22,measured
Greece,balkans,golf,popular,27.4,0.268,0.374,0.223,0.72,measured
Greece,balkans,boxing,popular,37.8,0.384,0.532,0.171,0.7,measured
Greece,balkans,MMA,popular,37.4,0.34,0.558,0.114,0.66,measured
Greece,balkans,gymnastics,niche,43.7,0.363,0.431,0.265,0.42,measured
Greece,balkans,handball,niche,47.7,0.412,0.513,0.22,0.42,measured
Greece,balkans,rowing,niche,44.0,0.233,0.255,0.34,0.18,measured
Greece,balkans,skateboarding,niche,47.4,0.363,0.356,0.376,0.28,measured
Greece,balkans,motorsport,popular,27.2,0.127,0.623,0.02,0.85,measured
Croatia,balkans,running / trail,niche,74.2,0.861,0.49,0.86,0.1,estimate
Croatia,balkans,cycling,niche,63.6,0.754,0.578,0.627,0.35,estimate
Croatia,balkans,swimming,niche,65.2,0.732,0.49,0.726,0.25,estimate
Croatia,balkans,football,popular,52.5,0.786,0.898,0.186,0.88,estimate
Croatia,balkans,fitness / gym,niche,70.3,0.78,0.33,0.916,0.08,estimate
Croatia,balkans,padel,niche,47.5,0.352,0.164,0.677,0.15,estimate
Croatia,balkans,tennis,popular,44.2,0.579,0.623,0.281,0.78,estimate
Croatia,balkans,basketball,popular,50.8,0.689,0.76,0.239,0.78,estimate
Croatia,balkans,volleyball,popular,55.3,0.607,0.539,0.456,0.45,estimate
Croatia,balkans,climbing,niche,57.2,0.476,0.278,0.683,0.12,estimate
Croatia,balkans,athletics,popular,52.7,0.599,0.578,0.379,0.48,estimate
Croatia,balkans,triathlon,niche,52.3,0.386,0.297,0.512,0.14,estimate
Croatia,balkans,surfing,niche,38.4,0.229,0.204,0.418,0.22,estimate
Croatia,balkans,golf,popular,30.7,0.342,0.374,0.318,0.72,estimate
Croatia,balkans,boxing,popular,40.9,0.458,0.532,0.251,0.7,estimate
Croatia,balkans,MMA,popular,40.1,0.414,0.558,0.173,0.66,estimate
Croatia,balkans,gymnastics,niche,47.1,0.438,0.431,0.37,0.42,estimate
Croatia,balkans,handball,niche,50.9,0.486,0.513,0.314,0.42,estimate
Croatia,balkans,rowing,niche,47.6,0.308,0.255,0.456,0.18,estimate
Croatia,balkans,skateboarding,niche,51.0,0.438,0.356,0.495,0.28,estimate
Croatia,balkans,motorsport,popular,29.2,0.201,0.623,0.032,0.85,estimate
Slovenia,balkans,running / trail,niche,75.7,0.906,0.472,0.903,0.1,estimate
Slovenia,balkans,cycling,niche,65.7,0.8,0.561,0.718,0.35,estimate
Slovenia,balkans,swimming,niche,67.2,0.777,0.472,0.801,0.25,estimate
Slovenia,balkans,football,popular,54.3,0.831,0.881,0.258,0.88,estimate
Slovenia,balkans,fitness / gym,niche,71.5,0.826,0.312,0.943,0.08,estimate
Slovenia,balkans,padel,niche,49.5,0.398,0.146,0.761,0.15,estimate
Slovenia,balkans,tennis,popular,46.3,0.624,0.606,0.373,0.78,estimate
Slovenia,balkans,basketball,popular,52.9,0.735,0.743,0.323,0.78,estimate
Slovenia,balkans,volleyball,popular,57.7,0.652,0.521,0.56,0.45,estimate
Slovenia,balkans,climbing,niche,59.3,0.522,0.26,0.766,0.12,estimate
Slovenia,balkans,athletics,popular,55.0,0.645,0.561,0.481,0.48,estimate
Slovenia,balkans,triathlon,niche,54.6,0.432,0.28,0.614,0.14,estimate
Slovenia,balkans,surfing,niche,40.8,0.275,0.186,0.522,0.22,estimate
Slovenia,balkans,golf,popular,32.9,0.388,0.356,0.414,0.72,estimate
